City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
563,as sulayyil,20.4607,45.5779,30.14,17,100,7.09,SA,1693359404
564,quelimane,-17.8786,36.8883,17.58,89,100,2.18,MZ,1693359405
565,piacabucu,-10.4056,-36.4344,23.77,89,1,2.79,BR,1693359406
566,mount pearl,47.5166,-52.7813,16.29,79,100,5.14,CA,1693359406
567,port augusta,-32.5,137.7667,16.54,64,91,6.01,AU,1693359406
568,koundara,12.4833,-13.3,22.83,98,100,1.89,GN,1693359407
569,al kharijah,25.4514,30.5464,28.03,28,0,3.49,EG,1693359407
570,tsiombe,-25.3,45.4833,18.67,71,1,6.56,MG,1693359407
571,bengkulu,-3.8004,102.2655,26.43,73,92,2.36,ID,1693359408
572,qusmuryn,52.4503,64.6311,9.49,74,97,8.44,KZ,1693359408
573,funafuti,-8.5243,179.1942,33.0,75,75,5.14,TV,1693359408
